Column1,Column2,Column3
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,1.65472,0.000213922
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,1.65825,0.00260191
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,1.6798,0.000559078
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,1.68685,0.00190494
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,1.74422,0.00695552
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,1.75468,0.00547094
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,1.77424,0.0253861
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,1.77675,0.0048835
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,1.77756,0.0250208
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,1.7879,0.000803246
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,1.79881,0.00530758
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,1.82585,0.00211796
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,1.95837,0.011355
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,1.96127,0.00418683
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,1.9625,0.0113275
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,1.96265,0.00211652
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,1.98093,0.000992281
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,1.98824,0.00122358
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.00272,0.000583246
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,2.02658,0.00165262
R_Assignment_Random.G_Assignment_Random.Grouping_Random,2.05654,0.0016774
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,2.07698,0.000766203
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,2.0792,0.00154973
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,2.08248,0.00235785
G_Assignment_Random.R_Assignment_Random.Grouping_Random,2.09453,0.000125822
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,2.15572,0.00899472
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,2.15879,0.0103007
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,2.16625,0.00505263
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,2.20877,0.00890905
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,2.21851,0.00859795
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.34481,0.0190274
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.36022,0.0185542
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,2.36624,0.0194175
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,2.36769,0.0207624
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,2.37326,0.0204172
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,2.37552,0.0208138
